ティア,作品名,媒体,クラスタ,適合スコア,なぜ刺さるか
本命,ぼくらのよあけ,マンガ,深層核,9.0,近未来団地のジュブナイルSF。電脳コイル直系
本命,数学ガール(続刊/秘密ノート),小説,深層核,9.0,僕+テトラ+ミルカの対話×数学×余韻。本人一部読了・好む
本命,STEINS;GATE,アニメ,深層核,8.5,ループの喪失×二人×SF思弁。気になる登録済
本命,灰羽連盟,アニメ,深層核,7.5,共同体×罪と喪失×別れの余韻(安倍吉俊)
次点,リズと青い鳥,アニメ(映画),情念関係,8.0,みぞれと希美の二人。互いに素=数学ガールと接続
次点,宝石の国,マンガ/アニメ,思弁,7.5,記憶喪失×不死の思弁×鉱物(実学)
次点,夜のピクニック(恩田陸),小説,情念関係,7.5,歩き続ける一夜の青春対話と余韻
次点,素晴らしき日々〜不連続存在〜,VN/ゲーム,思弁,7.0,現実と夢の境界の思弁。秘封と同型(※重い題材注意)
次点,know(野崎まど),小説,思弁,7.0,認識と知の思弁SF。伊藤計劃の隣
気分で,ARIA,マンガ/アニメ,雰囲気,7.5,ネオヴェネツィアの手触り×小集団×郷愁
気分で,青い花(志村貴子),マンガ,情念関係,6.5,文芸的百合の代表。関係性の機微
気分で,ヨコハマ買い出し紀行,マンガ,雰囲気,6.0,穏やかな終末世界の日常と郷愁
気分で,ブルーピリオド,マンガ,雰囲気,6.0,絵画への真摯な探究×情念(実学情熱型)
気分で,四畳半神話大系(森見登美彦),小説/アニメ,雰囲気,6.0,サブカル的青春の郷愁とほろ苦さ
気分で,FLOWERS,VN/ゲーム,情念関係,5.5,四季百合ADV。関係性の直球
