候補作,媒体,既視聴,A情念,B関係,C手触り,D喪失,E思弁情緒,F最適化(負),適合スコア(A+B+C+D+E-F),一言
少女終末旅行,マンガ/アニメ,未,1,2,2,2,2,0,9,二人の少女×終末×静かな哲学。深層核ど真ん中
宝石の国,マンガ/アニメ,未,2,1,2,2,2,0,9,記憶喪失×不死の思弁×鉱物(実学)。瑠璃+アビス+喪失
ぼくらのよあけ,マンガ,未,1,2,2,2,2,0,9,近未来団地のジュブナイルSF。電脳コイルの直系
STEINS;GATE,ゲーム(VN),気になる登録済,2,2,1,2,2,0,9,ループの喪失×二人×SF思弁。本人の関心リスト内
灰羽連盟,アニメ,未,1,2,1,2,2,0,8,共同体×罪と喪失×別れの余韻。安倍吉俊の寓意世界
リズと青い鳥,アニメ(映画),未,2,2,1,2,1,0,8,みぞれと希美の二人。互いに素=数学ガールと接続
ARIA,マンガ/アニメ,未,1,2,2,2,1,0,8,ネオヴェネツィアの手触り×小集団×郷愁の癒し
数学ガール(続刊/秘密ノート),小説,一部読了・好む,1,2,2,1,2,0,8,僕+テトラ+ミルカの対話×数学(実学)×青春の余韻
素晴らしき日々〜不連続存在〜,ゲーム(VN),未,2,1,1,2,2,0,8,現実と夢の境界の思弁。秘封の形而上と同型(※重い題材注意)
ヨコハマ買い出し紀行,マンガ,未,1,1,2,2,1,0,7,穏やかな終末世界の日常と郷愁。雰囲気の到達点
夜のピクニック(恩田陸),小説,未,2,2,1,2,0,0,7,歩き続ける一夜の青春対話。関係性と余韻
ブルーピリオド,マンガ,未,2,1,2,1,1,0,7,絵画への真摯な探究×情念。瑠璃/Dr.STONEの実学情熱型
四畳半神話大系(森見登美彦),小説/アニメ,未,2,1,2,1,1,0,7,サブカル的青春の郷愁とほろ苦さ。語りが濃い
青い花(志村貴子),マンガ,未,2,2,1,1,0,0,6,文芸的百合の代表。関係性の機微
野崎まど『know』,小説,未,1,1,1,1,2,0,6,認識と知の思弁SF。伊藤計劃の隣(情緒はやや淡)
FLOWERS,ゲーム(VN),未,1,2,1,1,0,0,5,四季百合ADV。関係性軸の直球
